Terminal log file
Date: 04/03/2022 - 10:18:31
-----------------------------------------------
Temperature =  18.88C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.88C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.83C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.77C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.50C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.56C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.45C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.50C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.40C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.40C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.40C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.29C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.34C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.13C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  18.08C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  17.97C, Pressure =  1017.01, Altitude =  -20.16m,
Temperature =  17.87C, Pressure =  1015.93, Altitude =  -14.36m,
Temperature =  17.87C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  17.87C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  17.92C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  17.92C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.92C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.97C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.77C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.71C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.71C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.71C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.71C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.71C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.71C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.61C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.51C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.46C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.35C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.30C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.20C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.20C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.30C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.35C, Pressure =  1012.67, Altitude =  -3.09m,
Temperature =  17.40C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.40C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.30C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.20C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.30C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.25C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.15C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.20C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.10C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.10C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.10C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  17.00C, Pressure =  1013.76, Altitude =  -2.73m,
Temperature =  16.95C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.90C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.90C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.85C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.80C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.85C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.90C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.85C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.85C, Pressure =  1014.84, Altitude =  -8.55m,
Temperature =  16.80C, Pressure =  1015.93, Altitude =  -14.36m,
Temperature =  16.74C, Pressure =  1016.42, Altitude =  -20.59m,

-----------------------------------------------
Date: 04/03/2022 - 10:19:50
End log file
